5;7 -3 -10 4 2 8 -2 4 -5 -2
6;-4 3 -10 5 3 -7 -3 7 -6 3
3;-7 0 -45 34 -24 7
2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
50;-64 22 27 -39 -58 87 50 -95 -58 -23 -79 95 21 -57 23 92 77 34 51 79 -76 -65 -73 -35 28 3 -72 64 94 9 -96 22 6 49 -69 57 2 -12 35 -1 14 -25 5 -88 -51 -91 -20 -50 -21 71 -25 48 76 15 84 -70 -1 -83 -27 -30 -39 20 -10 -29 38 -3 81 40 -70 -43 29 65 -85 68 -42 59 -38 -24 -80 81 -47 -32 46 79 -28 -97 30 -88
11;91 73 68 -18 -84 -15 9 64 84 -32 17 -82 7 16 -77 95 56 63 -44 44 -98 60 50 29 84 -37 -28 29 39 98 80 86 -10 59
34;57 59 -95 98 -52 -14 -87 84 -75 13 82 -77 -22 88 -50 29 66 90 24 -94 -88 65 -73 -87 75 -14 10 -97 92 -46 -80 24 86 -90 0 94 54 -2 -68 -2 27 11 57 -88 -40 -89 73 67 -67 -11 45 -12 -52 5 -82 -80 -39 15 29 51 73 -30 56 33 -73 65 -54 -27
15;-7 38 -24 22 -98 -16 87 12 -10 62 -11 24 -90 -12 93 -15 -37 39 65 -4 -7 -98 -29 94 33 9 31 77 -16 -60 13 -53 86 -48 -36 2 -14 -68 97 -36 -73 98 78 -73 -6 -97 15 -26 51 69 13 -88 -7 -83 36 -59 -8 73 86 -15 76 99 -44 -1 48 -97 53 59 -92 -74 -78 18 42 -72 59 -23 69 68 49 -11 61 -54 80 -6 -51 40 11 77 -5 -16 1 70 26 -38 -46 -92 23 67 -33
20;-1 -91 -23 87 -17 -53 89 2 28 -73 -90 -79 27 -85 23 96 -22 81 -50 65 -77 -28 -78 -34 -24 51 -38 -60 78 80 8 58 -21 68 -48 -22 -56 4 -39 -34 96 -47 -15 74 81 -78 57 75 55 38 -33 -48 29 44 -46 37 58 53 42 93 58 70 71 -14 -69 -49 84 -42 -24 34 -5 -65 -69 26 -61 -99 13 -97 -18
32;-38 -1 -86 42 11 -88 42 24 -66 -34 -54 23 -27 -90 -59 -1 -18 -69 -71 34 64 0 -15 -9 -12 94 -40 46 37 2 25 96 -49 87 -96 69 67 -83 -50 -69 57 78 21 9 2 61 9 -13 -78 -92 -61 4 11 -65 -30 -61 51 -44 -77 -59 -75 92 43 66 49 -19 21 -68 -93 47 85 93 6 16 -34 -45 -21 87 -74 78 35 -87 -75 37 99
39;17 -28 43 -45 37 49 -90 62 -57 31 -92 -24 33 16 44 64 -48 -13 20 36 -49 11 94 -61 13 -1 -56 2 97 38 -32 -38 67 91 52 37 -55 58 -59 28 6 25 37 68 -40 12 -6 -73 -55 52 -28 96
17;-33 91 -87 -91 54 -77 40 97 -89 96 -35 11 79 13 20 38 89 20 -78 32 69 -24
22;-57 -35 82 98 -16 2 -55 64 59 -73 -47 31 -4 2 -11 90 43 49 74 97 34 76 92 -50 13 -72 89 -47 -26 -61 -77 61 49 -18 99 50 -27 -25 -17 -24 17 9 -76 -81 29 -99 20 85 -2 56 14 3
17;-10 -67 59 -82 57 12 20 -3 -53 -10 18 -77 -41 82 28 21 -14 -64 99 -6 55 -52 40 88 48 -18 51 -40 86 -10 -19 63 -64 -3 54 18 9 96 61 26
50;-24 37 41 -10 -6 77 -61 55 71 53 79 19 -69 -16 86 -53 80 -70 -34 -48 94 -97 -36 40 3 77 31 -91 -78 -18 -9 -3 -8 -92 34 34 -79 -98 19 -10 4 48 34 33 14 61 94 -71 -33 66
38;-10 -91 94 -20 -47 22 -14 72 48 -72 83 80 -53 -50 -22 -63 89 36 82 32 -45 81 44 43 -87 35 -95 62 80 18 -40 -79 4 -30 -64 -90 -17 18 81 52 -72 19 -15
10;1 -74 56 -46 23 56 53 -42 68 -63 9 93 76 -21 -96 -21 59 2 -99 53 58 44 94 -77 5 74 99 74 -1 -61 62 41 12 7 45 85 13 -19 88 19 -52 -59 23 -16 63 -7 -90 -62 85 -98 2 54 -67 98 77 -99 -82 23 9 -67 -44 82 24 8 80
